pcd	WGS84long	WGS84lat
CM07EU	0.833982	51.6609
CM07EW	0.833314	51.6618
CM07EX	0.825668	51.6624
CM07EY	0.827601	51.6616
CM07EZ	0.828753	51.6615
CM07FA	0.827998	51.6633
CM07FB	0.827998	51.6633
CM07FD	0.829362	51.6624
CM07FE	0.821489	51.6626
CM07FF	0.829438	51.6627
CM07FG	0.883688	51.678
CM07FH	0.883688	51.678
CM07FJ	0.883688	51.678
CM07FR	0.829362	51.6624
CM07FS	0.829362	51.6624
CM07FX	0.8961	51.647
CM07FZ	0.829262	51.6625
CM07GA	0.82381	51.6636
CM07GB	0.829362	51.6624
CM07GD	0.826525	51.6589
CM07GE	0.81768	51.6681
CM07GF	0.821869	51.6636
CM07GG	0.833461	51.6602
CM07GH	0.833467	51.6606
CM07GJ	0.829362	51.6624
CM07GL	0.841963	51.6847
CM07GN	0.829362	51.6624
CM07GP	0.825235	51.6598
CM07GQ	0.887551	51.7335
CM07GR	0.832866	51.713
CM07GS	0.82101	51.6623
CM07GT	0.829362	51.6624
CM07GU	0.829362	51.6624
CM07GW	0.828873	51.6627
CM07GX	0.820012	51.6623
CM07GY	0.881315	51.6956
CM07GZ	0.829531	51.6598
CM07HA	0.826813	51.6594
CM07HB	0.827299	51.6609
CM07HD	0.829502	51.6608
CM07HE	0.834956	51.6622
CM07HF	0.82974	51.6613
CM07HG	0.827497	51.6604
CM07HH	0.883941	51.7139
CM07HJ	0.883221	51.7139
CM07HL	0.886129	51.7141
CM07HN	0.882505	51.7152
CM07HP	0.896077	51.7427
CM07HQ	0.829209	51.6591
CM07HR	0.89279	51.7191
CM07HS	0.887345	51.7193
CM07HT	0.883148	51.7166
CM07HU	0.878673	51.715
CM07HW	0.894185	51.7398
CM07HX	0.877302	51.7119
CM07HY	0.865313	51.7121
CM07HZ	0.861509	51.7099
CM07JA	0.828684	51.6585
CM07JB	0.916454	51.7405
CM07JD	0.865122	51.6754
CM07JE	0.881022	51.7167
CM07JF	0.859598	51.6766
CM07JG	0.905153	51.6658
CM07JH	0.830551	51.7133
CM07JJ	0.867801	51.6514
CM07JL	0.883688	51.678
CM07JN	0.867727	51.6569
CM07JP	0.837768	51.6588
CM07JQ	0.908444	51.6514
CM07JR	0.835777	51.651
CM07JS	0.826784	51.658
CM07JT	0.827579	51.6587
CM07JU	0.885399	51.6972
CM07JW	0.837847	51.6591
CM07JX	0.828395	51.6634
CM07JY	0.801232	51.6936
CM07JZ	0.830338	51.714
CM07LA	0.816302	51.6746
CM07LB	0.808721	51.6748
CM07LD	0.828924	51.6798
CM07LE	0.804481	51.6909
CM07LF	0.802878	51.6931
CM07LG	0.801258	51.6928
CM07LH	0.821934	51.6979
CM07LJ	0.80982	51.6944
CM07LL	0.811907	51.6944
CM07LN	0.844936	51.7028
CM07LP	0.840601	51.7091
CM07LQ	0.806451	51.7061
CM07LR	0.833905	51.7065
CM07LS	0.832534	51.7077
CM07LT	0.828388	51.7162
CM07LU	0.8283	51.7155
CM07LW	0.848297	51.7072
CM07LX	0.795121	51.6921
CM07LY	0.827447	51.7148
CM07LZ	0.824421	51.7169
CM07NA	0.82428	51.7179
CM07NB	0.826614	51.7161
CM07ND	0.827086	51.7171
CM07NE	0.817461	51.72
CM07NF	0.82178	51.7196
CM07NG	0.816964	51.7192
CM07NH	0.819613	51.7192
CM07NJ	0.815705	51.7174
CM07NL	0.817394	51.7189
CM07NN	0.817613	51.7197
CM07NP	0.824118	51.7162
CM07NQ	0.81898	51.7197
CM07NR	0.822501	51.7184
CM07NS	0.822918	51.7172
CM07NT	0.824118	51.7153
CM07NU	0.794045	51.7167
CM07NW	0.822911	51.7189
CM07NX	0.858929	51.6892
CM07NY	0.849274	51.6813
CM07NZ	0.84183	51.6918
CM07PA	0.82717	51.7166
CM07PB	0.825826	51.719
CM07PD	0.848412	51.6839
CM07PE	0.830578	51.7125
CM07PF	0.826018	51.7181
CM07PG	0.829362	51.6624
CM07PH	0.902703	51.7215
CM07PJ	0.899248	51.723
CM07PL	0.901363	51.7236
CM07PN	0.925327	51.7332
CM07PP	0.919758	51.7307
CM07PQ	0.829362	51.6624
CM07PR	0.918499	51.7298
CM07PS	0.917774	51.7295
CM07PT	0.908278	51.7271
CM07PU	0.909157	51.7277
CM07PW	0.923796	51.7302
CM07PX	0.902455	51.7253
CM07PY	0.901254	51.7247
CM07PZ	0.913222	51.7232
CM07QA	0.913248	51.7238
CM07QB	0.927713	51.7103
CM07QD	0.911031	51.724
CM07QE	0.906938	51.7264
CM07QF	0.90154	51.7318
CM07QG	0.907706	51.7259
CM07QH	0.902397	51.726
CM07QJ	0.900149	51.7237
CM07QL	0.89991	51.7243
CM07QN	0.900206	51.7248
CM07QP	0.89903	51.7297
CM07QQ	0.908094	51.7263
CM07QR	0.897337	51.7302
CM07QS	0.89661	51.7302
CM07QT	0.8902	51.733
CM07QU	0.889424	51.7342
CM07QW	0.900095	51.7258
CM07QX	0.888381	51.7338
CM07QY	0.887099	51.7334
CM07QZ	0.889821	51.7239
CM07RA	0.890478	51.7346
CM07RB	0.886431	51.7327
CM07RD	0.819069	51.6618
CM07RE	0.820515	51.662
CM07RF	0.823857	51.7178
CM07RG	0.829362	51.6624
CM07RH	0.800031	51.6922
CM07RJ	0.798123	51.6918
CM07RL	0.795569	51.6919
CM07RN	0.792496	51.6913
CM07RP	0.791882	51.6903
CM07RQ	0.823912	51.6606
CM07RR	0.787114	51.6854
CM07RS	0.788731	51.6929
CM07RT	0.790642	51.6892
CM07RU	0.794533	51.692
CM07RW	0.792441	51.6911
CM07RX	0.824603	51.6608
CM07RY	0.824667	51.6588
CM07RZ	0.824131	51.6588
CM07SA	0.884274	51.6975
CM07SB	0.854253	51.7
CM07SD	0.863279	51.7017
CM07SE	0.867544	51.7012
CM07SF	0.868329	51.7014
CM07SG	0.879001	51.6997
CM07SH	0.879297	51.6986
CM07SJ	0.901933	51.702
CM07SL	0.905969	51.69
CM07SN	0.91359	51.6958
CM07SP	0.892058	51.7052
CM07SQ	0.879796	51.6985
CM07SR	0.878395	51.7036
CM07SS	0.880027	51.701
CM07ST	0.881937	51.6987
CM07SU	0.883037	51.6972
CM07SW	0.90455	51.6972
CM07SX	0.884146	51.695
CM07SY	0.884702	51.6963
CM07SZ	0.88673	51.697
CM07TA	0.882751	51.6967
CM07TB	0.882637	51.6961
CM07TD	0.883185	51.6958
CM07TE	0.884635	51.6956
CM07TF	0.883672	51.696
CM07TG	0.884989	51.6967
CM07TH	0.882472	51.6935
CM07TJ	0.882366	51.6957
CM07TL	0.881256	51.6949
CM07TN	0.881201	51.6944
CM07TP	0.882255	51.6971
CM07TQ	0.829362	51.6624
CM07TR	0.88116	51.6986
CM07TS	0.880188	51.6997
CM07TT	0.881265	51.6934
CM07TU	0.88105	51.6966
CM07TW	0.878544	51.6961
CM07TX	0.881272	51.6926
CM07TY	0.824815	51.6596
CM07TZ	0.824683	51.6593
CM07UA	0.892419	51.6877
CM07UB	0.886481	51.6912
CM07UD	0.873094	51.6901
CM07UE	0.878708	51.6837
CM07UF	0.878902	51.6908
CM07UG	0.872655	51.6888
CM07UH	0.873735	51.6794
CM07UJ	0.884083	51.6767
CM07UL	0.886098	51.6763
CM07UN	0.905063	51.6795
CM07UP	0.899058	51.682
CM07UQ	0.871608	51.686
CM07UR	0.903259	51.6836
CM07US	0.876298	51.6785
CM07UT	0.911858	51.6812
CM07UU	0.829362	51.6624
CM07UW	0.905025	51.678
CM07UX	0.841963	51.6847
CM07UY	0.818046	51.6644
CM07UZ	0.829262	51.6625
CM07WA	0.829262	51.6625
CM07WB	0.829262	51.6625
CM07WD	0.829262	51.6625
CM07WE	0.829362	51.6624
CM07WF	0.829362	51.6624
CM07WG	0.829362	51.6624
CM07WH	0.829362	51.6624
CM07WJ	0.829362	51.6624
CM07WL	0.829362	51.6624
CM07WN	0.829362	51.6624
CM07WP	0.829362	51.6624
CM07WQ	0.829362	51.6624
CM07WR	0.829362	51.6624
CM07WS	0.829362	51.6624
CM07WT	0.829362	51.6624
CM07WU	0.829362	51.6624
CM07WW	0.829262	51.6625
CM07WX	0.829262	51.6625
CM07WY	0.829362	51.6624
CM07WZ	0.829362	51.6624
CM07XA	0.829362	51.6624
CM07XB	0.870095	51.6967
CM07XD	0.829362	51.6624
CM07XE	0.829362	51.6624
CM07XF	0.829262	51.6625
CM07XG	0.829262	51.6625
CM07XH	0.829362	51.6624
CM07XJ	0.829362	51.6624
CM07XL	0.829262	51.6625
CM07XN	0.829262	51.6625
CM07XP	0.829262	51.6625
CM07XY	0.829362	51.6624
CM07XZ	0.829262	51.6625
CM07YA	0.829362	51.6624
CM07YB	0.829262	51.6625
CM07YD	0.829262	51.6625
CM07ZQ	0.829362	51.6624
CM07ZY	0.829362	51.6624
CM08AA	0.819131	51.6255
CM08AB	0.827604	51.6233
CM08AD	0.815629	51.6318
CM08AE	0.816989	51.6325
CM08AF	0.818725	51.6253
CM08AG	0.816958	51.6252
CM08AH	0.820459	51.6251
CM08AJ	0.822457	51.624
CM08AL	0.82609	51.6231
CM08AN	0.825851	51.6232
CM08AP	0.82083	51.6243
CM08AQ	0.817283	51.6253
CM08AR	0.818617	51.6249
CM08AS	0.815345	51.6255
CM08AT	0.819517	51.6245
CM08AU	0.82036	51.6246
CM08AW	0.821651	51.6245
CM08AX	0.822086	51.6236
CM08AY	0.81567	51.632
CM08AZ	0.815636	51.6319
CM08BA	0.820213	51.625
CM08BB	0.817227	51.6244
CM08BD	0.820213	51.625
CM08BE	0.819072	51.6251
CM08BG	0.815345	51.6325
CM08BH	0.815542	51.6325
CM08BJ	0.81567	51.632
CM08BL	0.810219	51.6326
CM08BN	0.814842	51.6326
CM08BP	0.814376	51.633
CM08BQ	0.815565	51.6314
CM08BS	0.818178	51.633
CM08BT	0.817618	51.6331
CM08BU	0.809236	51.6354
CM08BW	0.816672	51.633
CM08BX	0.816321	51.6338
CM08BY	0.815283	51.6332
CM08BZ	0.814774	51.6352
CM08DA	0.814841	51.6363
CM08DB	0.813431	51.6362
CM08DD	0.811123	51.636
CM08DE	0.813074	51.6349
CM08DF	0.81203	51.6343
CM08DG	0.81239	51.6338
CM08DH	0.819952	51.6339
CM08DJ	0.811506	51.6345
CM08DL	0.811509	51.6334
CM08DN	0.808936	51.6341
CM08DP	0.809782	51.6344
CM08DQ	0.8137	51.6342
CM08DR	0.816881	51.6322
CM08DS	0.816614	51.6313
CM08DT	0.816232	51.6312
CM08DU	0.816858	51.6304
CM08DW	0.809367	51.6336
CM08DX	0.816988	51.6299
CM08DY	0.816052	51.6293
CM08DZ	0.817341	51.6288
CM08EA	0.817944	51.629
CM08EB	0.818783	51.6286
CM08ED	0.819744	51.6303
CM08EE	0.820239	51.6322
CM08EF	0.821313	51.6314
CM08EG	0.818332	51.6315
CM08EH	0.817536	51.631
CM08EJ	0.811211	51.6297
CM08EL	0.81029	51.6291
CM08EN	0.810551	51.6321
CM08EP	0.812291	51.632
CM08EQ	0.818699	51.6307
CM08ER	0.812177	51.6292
CM08ES	0.812243	51.6308
CM08ET	0.813175	51.6311
CM08EU	0.81762	51.6315
CM08EW	0.810242	51.6313
CM08EX	0.811722	51.6319
CM08EY	0.811945	51.6299
CM08EZ	0.813303	51.6285
CM08FA	0.82629	51.6249
CM08GA	0.81567	51.632
CM08GB	0.815629	51.6318
CM08GD	0.815629	51.6318
CM08GE	0.81397	51.6351
CM08GG	0.815629	51.6318
CM08GH	0.820011	51.6285
CM08GL	0.822715	51.6244
CM08GX	0.815629	51.6318
CM08GZ	0.821853	51.6259
CM08HA	0.813781	51.6271
CM08HB	0.816335	51.6273
CM08HD	0.814397	51.6254
CM08HE	0.814397	51.6254
CM08HF	0.815403	51.63
CM08HG	0.814619	51.629
CM08HH	0.814536	51.6281
CM08HJ	0.815011	51.6267
CM08HL	0.808601	51.6305
CM08HN	0.81541	51.6261
CM08HP	0.81642	51.6266
CM08HQ	0.814536	51.6281
CM08HR	0.814451	51.6291
CM08HS	0.812312	51.6286
CM08HT	0.813779	51.6278
CM08HU	0.815629	51.6318
CM08HW	0.813946	51.6265
CM08HX	0.817109	51.626
CM08HY	0.814862	51.6287
CM08HZ	0.804724	51.6382
CM08JA	0.817644	51.627
CM08JB	0.81772	51.6259
CM08JD	0.818147	51.6269
CM08JE	0.815976	51.6283
CM08JF	0.817891	51.6282
CM08JG	0.818451	51.6276
CM08JH	0.819364	51.6286
CM08JJ	0.82036	51.6295
CM08JL	0.820185	51.6269
CM08JN	0.820016	51.6275
CM08JP	0.815334	51.6433
CM08JQ	0.819432	51.6271
CM08JR	0.821104	51.6294
CM08JS	0.818486	51.6261
CM08JT	0.818995	51.6266
CM08JU	0.819308	51.6263
CM08JW	0.822084	51.637
CM08JX	0.820205	51.6263
CM08JY	0.821106	51.6262
CM08JZ	0.823884	51.626
CM08LA	0.82288	51.6259
CM08LB	0.821315	51.627
CM08LD	0.822552	51.6269
CM08LE	0.820459	51.6281
CM08LF	0.821221	51.6278
CM08LG	0.822168	51.6296
CM08LH	0.821108	51.6304
CM08LJ	0.817232	51.6366
CM08LL	0.82063	51.626
CM08LN	0.815629	51.6318
CM08LP	0.823875	51.6268
CM08LQ	0.822821	51.6266
CM08LR	0.82472	51.6269
CM08LS	0.825239	51.6278
CM08LT	0.82629	51.6249
CM08LU	0.832834	51.6272
CM08LW	0.818547	51.6359
CM08LX	0.816382	51.6346
CM08LY	0.818024	51.6366
CM08LZ	0.817606	51.6373
CM08NA	0.830289	51.6372
CM08NB	0.833749	51.6366
CM08ND	0.834417	51.6413
CM08NE	0.866741	51.6342
CM08NF	0.892471	51.6327
CM08NG	0.90122	51.6321
CM08NH	0.820279	51.6364
CM08NJ	0.899797	51.6426
CM08NL	0.903267	51.6367
CM08NN	0.815636	51.6319
CM08NP	0.806762	51.6372
CM08NQ	0.899199	51.6396
CM08NR	0.800688	51.6395
CM08NS	0.797563	51.6421
CM08NT	0.788194	51.6435
CM08NU	0.809844	51.6354
CM08NW	0.815636	51.6319
CM08NX	0.806648	51.6382
CM08NY	0.80327	51.6374
CM08NZ	0.81567	51.632
CM08PA	0.809397	51.6357
CM08PB	0.808789	51.6352
CM08PD	0.815318	51.6419
CM08PE	0.812137	51.6433
CM08PF	0.80389	51.6387
CM08PG	0.793359	51.6426
CM08PH	0.796861	51.6375
CM08PJ	0.792787	51.63
CM08PL	0.790577	51.6274
CM08PN	0.809524	51.6307
CM08PP	0.814198	51.6257
CM08PQ	0.789953	51.6377
CM08PR	0.811582	51.6439
CM08PS	0.813125	51.6408
CM08PT	0.802883	51.6421
CM08PU	0.797913	51.6433
CM08PW	0.80814	51.6315
CM08PX	0.811102	51.6415
CM08PY	0.816041	51.6375
CM08PZ	0.816875	51.6416
CM08QA	0.820433	51.6456
CM08QB	0.813916	51.6386
CM08QD	0.81139	51.6427
CM08QE	0.812721	51.6422
CM08QF	0.815409	51.6441
CM08QG	0.809495	51.6466
CM08QH	0.797871	51.6426
CM08QJ	0.816311	51.636
CM08QL	0.813983	51.643
CM08QN	0.812511	51.6416
CM08QP	0.815629	51.6318
CM08QQ	0.809072	51.6442
CM08QR	0.814976	51.6422
CM08QS	0.81567	51.632
CM08QT	0.816619	51.6379
CM08QU	0.815629	51.6318
CM08QW	0.818062	51.6379
CM08QX	0.815629	51.6318
CM08QY	0.81854	51.6347
CM08QZ	0.815629	51.6318
CM08RA	0.820006	51.6352
CM08RB	0.821164	51.6348
CM08RE	0.81567	51.632
CM08RF	0.820333	51.6344
CM08RG	0.815629	51.6318
CM08RH	0.808585	51.6347
CM08RJ	0.809796	51.633
CM08RL	0.808167	51.6333
CM08RN	0.813399	51.6326
CM08RP	0.814568	51.6261
CM08RQ	0.811658	51.6351
CM08RR	0.821723	51.6256
CM08RS	0.819171	51.6325
CM08RW	0.810042	51.6326
CM08RX	0.817645	51.6303
CM08RY	0.817951	51.6361
CM08RZ	0.818341	51.6424
CM08SA	0.819213	51.6322
CM08SB	0.811956	51.6327
CM08SD	0.811956	51.6327
CM08SE	0.814961	51.6424
CM08SH	0.813012	51.6329
CM08SJ	0.814595	51.6321
CM08SN	0.813994	51.632
CM08SP	0.8119	51.6318
CM08SW	0.812856	51.632
CM08SY	0.82233	51.6277
CM08SZ	0.823222	51.6279
CM08TA	0.804388	51.6334
CM08TB	0.804192	51.6368
CM08TD	0.803193	51.6345
CM08TE	0.803957	51.6335
CM08TF	0.805224	51.6358
CM08TG	0.821593	51.6261
CM08TH	0.805667	51.6352
CM08TJ	0.806532	51.6352
CM08TL	0.807005	51.6356
CM08TN	0.805904	51.6358
CM08TP	0.806693	51.6345
CM08TQ	0.805871	51.6336
CM08TR	0.80767	51.6349
CM08TS	0.806401	51.6361
CM08TT	0.807875	51.6361
CM08TU	0.807138	51.6365
CM08TW	0.816182	51.643
CM08TX	0.806475	51.6368
CM08TY	0.81567	51.632
CM08TZ	0.815629	51.6318
CM08UA	0.805817	51.6339
CM08UB	0.803487	51.6331
CM08UD	0.816176	51.6436
CM08UE	0.816561	51.6426
CM08UL	0.815629	51.6318
CM08UN	0.813848	51.6326
CM08UW	0.815629	51.6318
CM08UX	0.815629	51.6318
CM08UY	0.815629	51.6318
CM08UZ	0.815629	51.6318
CM08WA	0.813848	51.6326
CM08WB	0.813848	51.6326
CM08WD	0.815629	51.6318
CM08WE	0.815629	51.6318
CM08WF	0.815629	51.6318
CM08WG	0.815629	51.6318
CM08WH	0.815629	51.6318
CM08WJ	0.815629	51.6318
CM08WL	0.815629	51.6318
CM08WN	0.815629	51.6318
CM08WP	0.815629	51.6318
CM08WQ	0.813848	51.6326
CM08WR	0.815629	51.6318
CM08WS	0.815629	51.6318
CM08WT	0.815629	51.6318
CM08WU	0.815629	51.6318
CM08WW	0.815629	51.6318
CM08WX	0.815629	51.6318
CM08WY	0.815629	51.6318
CM08WZ	0.815629	51.6318
CM08XA	0.815629	51.6318
CM08XB	0.815629	51.6318
CM08XD	0.815629	51.6318
CM08XE	0.815629	51.6318
CM08XF	0.815629	51.6318
CM08XZ	0.815629	51.6318
CM08YX	0.818726	51.6255
CM08YZ	0.818726	51.6255
CM111AA	0.426971	51.6343
CM111AB	0.423982	51.6316
CM111AD	0.416722	51.6228
CM111AE	0.423044	51.6292
CM111AF	0.422805	51.6285
CM111AG	0.424125	51.63
CM111AH	0.425329	51.6292
CM111AJ	0.42352	51.6289
CM111AL	0.426609	51.6283
CM111AN	0.424967	51.63
CM111AP	0.425893	51.6295
CM111AQ	0.424866	51.6281
CM111AR	0.423039	51.6296
CM111AS	0.42413	51.6309
CM111AT	0.425568	51.6313
CM111AU	0.430484	51.637
CM111AW	0.424482	51.6296
CM111AX	0.416722	51.6228
CM111AY	0.429245	51.6376
CM111BB	0.42725	51.6311
CM111BD	0.42725	51.6311
CM111BE	0.426021	51.6314
CM111BF	0.416722	51.6228
CM111BG	0.426374	51.6326
CM111BH	0.428978	51.634
CM111BJ	0.427683	51.6346
CM111BL	0.428933	51.6356
CM111BN	0.427519	51.6364
CM111BP	0.428635	51.637
CM111BQ	0.427561	51.6331
CM111BS	0.430191	51.6361
CM111BT	0.430686	51.6348
CM111BU	0.433359	51.6362
CM111BW	0.451892	51.6347
CM111BX	0.451892	51.6346
CM111BY	0.432336	51.6362
CM111BZ	0.440447	51.6387
CM111DA	0.416722	51.6228
CM111DB	0.438514	51.6377
CM111DD	0.436273	51.6374
CM111DE	0.438708	51.6405
CM111DF	0.438208	51.6395
CM111DG	0.436346	51.6396
CM111DH	0.437262	51.6391
CM111DJ	0.434428	51.6453
CM111DL	0.436693	51.6444
CM111DN	0.451892	51.6347
CM111DP	0.43743	51.6423
CM111DQ	0.435575	51.64
CM111DR	0.437754	51.6435
CM111DS	0.43408	51.644
CM111DT	0.433912	51.6427
CM111DU	0.434467	51.6436
CM111DW	0.436752	51.6428
CM111DX	0.435226	51.6435
CM111DY	0.43607	51.6436
CM111DZ	0.435783	51.6428
CM111EA	0.436722	51.6434
CM111EB	0.437255	51.6431
CM111ED	0.436551	51.6429
CM111EE	0.436027	51.6423
CM111EF	0.43526	51.6417
CM111EG	0.43437	51.6413
CM111EH	0.433497	51.6409
CM111EJ	0.433677	51.6418
CM111EL	0.432831	51.6417
CM111EN	0.433384	51.6447
CM111EP	0.436212	51.6411
CM111EQ	0.433768	51.6411
CM111ER	0.435346	51.6403
CM111ES	0.43805	51.6414
CM111ET	0.441561	51.6293
CM111EU	0.437579	51.6294
CM111EW	0.451892	51.6347
CM111EX	0.440072	51.629
CM111EY	0.440273	51.6282
CM111EZ	0.438472	51.6291
CM111FF	0.416722	51.6228
CM111FT	0.451892	51.6347
CM111GG	0.426148	51.6308
CM111GT	0.451892	51.6347
CM111HA	0.44162	51.6339
CM111HB	0.443177	51.6277
CM111HD	0.443211	51.6291
CM111HE	0.446304	51.6431
CM111HF	0.451892	51.6347
CM111HG	0.441809	51.6406
CM111HH	0.440101	51.642
CM111HJ	0.473456	51.6365
CM111HL	0.450678	51.6357
CM111HN	0.448244	51.6316
CM111HP	0.447517	51.6318
CM111HQ	0.442005	51.6395
CM111HR	0.457777	51.635
CM111HS	0.466392	51.6355
CM111HT	0.416722	51.6228
CM111HU	0.47299	51.6362
CM111HW	0.416722	51.6228
CM111HX	0.472256	51.6373
CM111HY	0.474244	51.6369
CM111HZ	0.471142	51.6376
CM111JA	0.469893	51.6375
CM111JB	0.470393	51.6373
CM111JD	0.468542	51.6371
CM111JE	0.468792	51.6379
CM111JF	0.470326	51.6382
CM111JG	0.471552	51.6385
CM111JH	0.469537	51.6485
CM111JJ	0.470365	51.639
CM111JL	0.47036	51.6434
CM111JN	0.470112	51.6476
CM111JP	0.462985	51.6468
CM111JQ	0.471226	51.6391
CM111JR	0.46377	51.6482
CM111JS	0.472921	51.6519
CM111JT	0.482185	51.6458
CM111JU	0.484595	51.6454
CM111JW	0.416722	51.6228
CM111JX	0.493865	51.6455
CM111JY	0.46722	51.6361
CM111JZ	0.502022	51.644
CM111LA	0.503337	51.6385
CM111LB	0.502716	51.6377
CM111LD	0.498423	51.6348
CM111LE	0.506021	51.6334
CM111LF	0.502573	51.6307
CM111LG	0.500816	51.6284
CM111LH	0.500614	51.6242
CM111LJ	0.502474	51.6236
CM111LL	0.503819	51.627
CM111LN	0.423788	51.6301
CM111LP	0.501509	51.6226
CM111LQ	0.422954	51.6305
CM111LR	0.423108	51.6309
CM111LS	0.422312	51.6298
CM111LT	0.421676	51.6298
CM111LU	0.421409	51.6292
CM111LW	0.504375	51.6235
CM111LX	0.467898	51.6369
CM111LY	0.467687	51.6362
CM111LZ	0.469507	51.6357
CM111NA	0.472654	51.6359
CM111NB	0.47255	51.6353
CM111ND	0.471815	51.6359
CM111NE	0.471833	51.6341
CM111NF	0.471173	51.6342
CM111NH	0.472073	51.6316
CM111NJ	0.472351	51.634
CM111NL	0.472942	51.6316
CM111NN	0.472363	51.6289
CM111NP	0.471587	51.6237
CM111NQ	0.473236	51.633
CM111NR	0.474306	51.6229
CM111NS	0.478946	51.6232
CM111NU	0.475411	51.6337
CM111NX	0.474028	51.6317
CM111NY	0.473771	51.632
CM111NZ	0.474734	51.6319
CM111PA	0.474586	51.6339
CM111PB	0.473673	51.6344
CM111PD	0.473803	51.6331
CM111PF	0.451892	51.6347
CM111PH	0.484696	51.623
CM111PJ	0.481738	51.6241
CM111PL	0.481219	51.6254
CM111PP	0.481522	51.6294
CM111PQ	0.474631	51.6366
CM111PR	0.489447	51.6298
CM111PS	0.478088	51.6303
CM111PT	0.475517	51.6319
CM111PU	0.475468	51.6366
CM111PW	0.480909	51.6261
CM111PX	0.451892	51.6346
CM111PY	0.478329	51.6366
CM111PZ	0.478871	51.637
CM111QA	0.481085	51.6378
CM111QB	0.481141	51.6373
CM111QD	0.481785	51.6374
CM111QE	0.482393	51.6353
CM111QF	0.483029	51.6361
CM111QH	0.487537	51.6387
CM111QJ	0.488779	51.6427
CM111QL	0.490298	51.6398
CM111QN	0.492347	51.6379
CM111QP	0.493044	51.6361
CM111QQ	0.48465	51.638
CM111QR	0.495211	51.6363
CM111QS	0.495937	51.6351
CM111QT	0.497046	51.6353
CM111QU	0.49635	51.636
CM111QW	0.416722	51.6228
CM111QX	0.416722	51.6228
CM111QY	0.498285	51.6365
CM111QZ	0.474818	51.6358
CM111RA	0.48481	51.623
CM111RE	0.486861	51.6076
CM111RF	0.451892	51.6347
CM111RG	0.486327	51.6095
CM111RH	0.485485	51.6147
CM111RJ	0.487902	51.6182
CM111RL	0.49311	51.6194
CM111RN	0.484599	51.6178
CM111RP	0.480714	51.6178
CM111RQ	0.451892	51.6347
CM111RR	0.483763	51.6197
CM111RS	0.48322	51.6203
CM111RT	0.482339	51.6219
CM111RU	0.416722	51.6228
CM111RW	0.451892	51.6347
CM111SA	0.435781	51.6379
CM111SB	0.437071	51.6388
CM111SD	0.435349	51.6374
CM111SE	0.439999	51.639
CM111SF	0.439634	51.6397
CM111SG	0.441075	51.6402
CM111SH	0.440062	51.6401
CM111SJ	0.439041	51.6411
CM111SL	0.438051	51.6401
CM111SN	0.436608	51.6401
CM111SQ	0.440121	51.6396
CM111SR	0.416722	51.6228
CM111SX	0.437354	51.6406
CM111SY	0.438342	51.6412
CM111SZ	0.438721	51.6416
CM111UZ	0.416722	51.6228
CM111WA	0.438721	51.6416
CM111WB	0.438721	51.6416
CM111WD	0.416722	51.6228
